user_id,last_interaction,total_stored_value,days_since_last_use,status
USER_0935,2026-06-16 15:10:01.069027,3686.0,3,Healthy Idle
USER_0155,2026-06-03 15:10:01.044146,3562.0,16,At-Risk
USER_0890,2026-06-09 15:10:01.067584,3543.0,10,Healthy Idle
USER_0465,2026-06-07 15:10:01.054154,3510.0,12,Healthy Idle
USER_0399,2026-06-16 15:10:01.052121,3231.0,3,Healthy Idle
USER_0860,2026-06-11 15:10:01.066549,3168.0,8,Healthy Idle
USER_0833,2026-06-06 15:10:01.065773,3137.0,13,Healthy Idle
USER_0668,2026-06-11 15:10:01.060049,3100.0,8,Healthy Idle
USER_0304,2026-05-16 15:10:01.049552,3081.0,34,High-Risk Stagnant
USER_0707,2026-06-04 15:10:01.061523,3070.0,15,At-Risk
USER_0459,2026-06-13 15:10:01.054011,3032.0,6,Healthy Idle
USER_0224,2026-06-12 15:10:01.047004,3031.0,7,Healthy Idle
USER_0591,2026-06-11 15:10:01.057818,3028.0,8,Healthy Idle
USER_0074,2026-06-19 15:10:01.041486,3004.0,0,Healthy Idle
USER_0530,2026-06-17 15:10:01.056030,2970.0,2,Healthy Idle
USER_0766,2026-06-17 15:10:01.063674,2959.0,2,Healthy Idle
USER_0776,2026-06-07 15:10:01.064079,2944.0,12,Healthy Idle
USER_0962,2026-06-11 15:10:01.070003,2941.0,8,Healthy Idle
USER_0824,2026-06-11 15:10:01.065471,2921.0,8,Healthy Idle
USER_0576,2026-06-09 15:10:01.057354,2909.0,10,Healthy Idle
USER_0435,2026-06-15 15:10:01.053358,2893.0,4,Healthy Idle
USER_0538,2026-06-04 15:10:01.056340,2884.0,15,At-Risk
USER_0965,2026-06-17 15:10:01.070097,2882.0,2,Healthy Idle
USER_0991,2026-06-11 15:10:01.071032,2880.0,8,Healthy Idle
USER_0217,2026-06-17 15:10:01.046751,2875.0,2,Healthy Idle
USER_0788,2026-06-16 15:10:01.064404,2869.0,3,Healthy Idle
USER_0775,2026-06-09 15:10:01.064061,2866.0,10,Healthy Idle
USER_0167,2026-06-18 15:10:01.044753,2864.0,1,Healthy Idle
USER_0993,2026-06-13 15:10:01.071075,2863.0,6,Healthy Idle
USER_0863,2026-06-10 15:10:01.066703,2859.0,9,Healthy Idle
USER_0015,2026-06-19 15:10:01.039839,2853.0,0,Healthy Idle
USER_0127,2026-06-10 15:10:01.043208,2842.0,9,Healthy Idle
USER_0580,2026-06-09 15:10:01.057460,2841.0,10,Healthy Idle
USER_0792,2026-06-15 15:10:01.064492,2834.0,4,Healthy Idle
USER_0204,2026-06-07 15:10:01.046126,2832.0,12,Healthy Idle
USER_0848,2026-06-16 15:10:01.066247,2808.0,3,Healthy Idle
USER_0928,2026-06-19 15:10:01.068719,2801.0,0,Healthy Idle
