user_id,last_interaction,total_balance,days_since,status
USER_0000,2026-06-05 13:26:49.607411,1788,14,Healthy Idle
USER_0001,2026-06-18 13:26:49.607495,1074,1,Healthy Idle
USER_0002,2026-05-30 13:26:49.607526,603,20,At-Risk
USER_0003,2026-06-05 13:26:49.607574,1852,14,Healthy Idle
USER_0004,2026-06-11 13:26:49.607676,1454,8,Healthy Idle
USER_0005,2026-06-18 13:26:49.607689,1170,1,Healthy Idle
USER_0006,2026-06-16 13:26:49.607762,722,3,Healthy Idle
USER_0007,2026-05-17 13:26:49.607783,244,33,High-Risk Stagnant
USER_0008,2026-06-06 13:26:49.607795,1332,13,Healthy Idle
USER_0009,2026-06-05 13:26:49.607893,2542,14,Healthy Idle
USER_0010,2026-06-19 13:26:49.607923,2630,0,Healthy Idle
USER_0011,2026-06-13 13:26:49.607990,932,6,Healthy Idle
USER_0012,2026-06-17 13:26:49.608071,2671,2,Healthy Idle
USER_0013,2026-06-16 13:26:49.608146,1335,3,Healthy Idle
USER_0014,2026-05-23 13:26:49.608231,1254,27,At-Risk
USER_0015,2026-06-19 13:26:49.608269,2853,0,Healthy Idle
USER_0016,2026-06-18 13:26:49.608402,1980,1,Healthy Idle
USER_0017,2026-04-25 13:26:49.608414,80,55,High-Risk Stagnant
USER_0018,2026-06-18 13:26:49.608427,129,1,Healthy Idle
USER_0019,2026-06-19 13:26:49.608448,1598,0,Healthy Idle
USER_0020,2026-06-03 13:26:49.608511,857,16,At-Risk
USER_0021,2026-06-09 13:26:49.608541,1252,10,Healthy Idle
USER_0022,2026-06-01 13:26:49.608597,1015,18,At-Risk
USER_0023,2026-06-01 13:26:49.608609,877,18,At-Risk
USER_0024,2026-06-19 13:26:49.608648,2073,0,Healthy Idle
USER_0025,2026-06-18 13:26:49.608713,2551,1,Healthy Idle
USER_0026,2026-05-27 13:26:49.608794,115,23,At-Risk
USER_0027,2026-04-09 13:26:49.608806,419,71,High-Risk Stagnant
USER_0028,2026-06-02 13:26:49.608844,1437,17,At-Risk
USER_0029,2026-06-12 13:26:49.608908,2675,7,Healthy Idle
USER_0030,2026-06-12 13:26:49.608974,1632,7,Healthy Idle
USER_0031,2026-04-12 13:26:49.609015,316,68,High-Risk Stagnant
USER_0032,2026-06-16 13:26:49.609028,253,3,Healthy Idle
USER_0033,2026-06-14 13:26:49.609058,1289,5,Healthy Idle
USER_0034,2026-06-02 13:26:49.609130,1189,17,At-Risk
USER_0035,2026-05-19 13:26:49.609160,859,31,High-Risk Stagnant
USER_0036,2026-06-18 13:26:49.609189,962,1,Healthy Idle
USER_0037,2026-05-18 13:26:49.609201,392,32,High-Risk Stagnant
USER_0038,2026-05-27 13:26:49.609247,1448,23,At-Risk
USER_0039,2026-06-12 13:26:49.609285,2421,7,Healthy Idle
USER_0040,2026-06-12 13:26:49.609420,1549,7,Healthy Idle
USER_0041,2026-06-07 13:26:49.609466,1550,12,Healthy Idle
USER_0042,2026-06-19 13:26:49.609556,2289,0,Healthy Idle
USER_0043,2026-06-19 13:26:49.609577,359,0,Healthy Idle
USER_0044,2026-05-25 13:26:49.609615,2070,25,At-Risk
USER_0045,2026-06-04 13:26:49.609743,1846,15,At-Risk
USER_0046,2026-06-10 13:26:49.609790,945,9,Healthy Idle
USER_0047,2026-06-10 13:26:49.609820,471,9,Healthy Idle
USER_0048,2026-06-19 13:26:49.609854,434,0,Healthy Idle
USER_0049,2026-06-18 13:26:49.609898,2517,1,Healthy Idle
USER_0050,2026-06-08 13:26:49.609965,1506,11,Healthy Idle
USER_0051,2026-05-16 13:26:49.610015,303,34,High-Risk Stagnant
USER_0052,2026-06-13 13:26:49.610054,2451,6,Healthy Idle
USER_0053,2026-05-27 13:26:49.610145,1346,23,At-Risk
USER_0054,2026-06-08 13:26:49.610157,951,11,Healthy Idle
USER_0055,2026-06-11 13:26:49.610247,2401,8,Healthy Idle
USER_0056,2026-06-08 13:26:49.610286,1091,11,Healthy Idle
USER_0057,2026-06-15 13:26:49.610358,1220,4,Healthy Idle
USER_0058,2026-06-13 13:26:49.610414,2758,6,Healthy Idle
USER_0059,2026-03-26 13:26:49.610489,499,85,High-Risk Stagnant
USER_0060,2026-04-10 13:26:49.610501,216,70,High-Risk Stagnant
USER_0061,2026-05-20 13:26:49.610522,872,30,At-Risk
USER_0062,2026-06-17 13:26:49.610615,1980,2,Healthy Idle
USER_0063,2026-05-13 13:26:49.610646,116,37,High-Risk Stagnant
USER_0064,2026-05-06 13:26:49.610676,1241,44,High-Risk Stagnant
USER_0065,2026-06-01 13:26:49.610727,891,18,At-Risk
USER_0066,2026-04-27 13:26:49.610766,373,53,High-Risk Stagnant
USER_0067,2026-06-08 13:26:49.610799,1257,11,Healthy Idle
USER_0068,2026-06-12 13:26:49.610847,1797,7,Healthy Idle
USER_0069,2026-06-14 13:26:49.610932,1531,5,Healthy Idle
